病理性听觉适应,0.0300200000
颞骨隆起,0.0002625000
手指扭伤,0.0014000000
肾小球内“三高”,0.0003600000
过荣华,0.0010000000
十二指肠狭窄,0.0000250000
下唇微痒增大如...,0.0000065000
乳头溢液,0.0721550000
胃排空过快,0.2000000000
儿童退缩行为,0.0002560000
肥达反应阳性,0.0000250000
下肢中枢性瘫痪,0.0070110000
脉搏脱漏,0.0101500000
现实解体,0.0000100000
钩骨附近的压痛,0.0002310000
骨无菌性坏死,0.0003600000
上消化道出血,0.2045972000
心肺栓塞,0.0005900000
咽部溃疡,0.0021850000
髌下疼痛,0.0001050000
肝肾阴虚,0.0300420000
折刀现象,0.0001125000
月经前水肿,0.8500100000
小腿乏力,0.0001000000
出脚汗,0.0053000000
胸水,0.0002305000
“红光满面”,0.0005200000
牙根外露,0.0023000000
口甜,0.0001000000
巨乳,0.0000735000
病理性发笑和哭喊,0.0001015000
口腔唇系带粗大,0.1000700000
脐周明显红肿变硬,0.0280500000
食管腔梗阻,0.0015110000
口腔幻触,0.0050350000
行为无计划性,0.0000020000
青光眼斑,0.0000970000
鼻孔闭锁,0.0001515000
乳房肿块,0.7929157000
肾上腺中毒,0.0013000000
深部性头痛,0.0076000000
吡咯烷及呱啶尿,0.0001500000
膀胱阴道瘘,0.0031120000
呼气音延长,0.1494533333
夜间肩痛,0.0037000000
眼睑肥厚,0.5000250000
掌跖多汗,0.0000780000
腰部僵直感,0.3000500000
开放性损伤,0.2255350000
胎儿酒精影响,0.0000045000
婴儿步行晚,0.0000100000
创伤性湿肺,0.0000450000
勃起时间短,0.1002000000
静脉曲张性外痔,0.0000550000
穿凿样改变颅骨破坏,0.0000200000
耻骨上痛,0.0003000000
尿暗黑色,0.0008250000
硬腭呈半圆形隆起,0.0000900000
骨赘大量增生,0.0001500000
巨输尿管症,0.2000800000
巨胃窦症,0.0001000000
爪甲和甲床表现...,0.0000200000
肝叶萎缩,0.0021500000
趾蹼间隙麻木,0.0003200000
口中有金属甜味,0.0007900000
腕关节向尺侧偏...,0.0005100000
出汗减少,0.0042870000
弥漫性骨膜增厚,0.0005850000
晕轮效应,0.1000000000
噎痛感,0.0075000000
口唇苍白,0.0000880000
社交恐惧,0.0319060000
肛门湿疹瘙痒,0.1500600000
下肢神经性疼痛,0.0060650000
反应性细胞改变,0.7515000000
脑沟变宽,0.0003360000
婴儿湿疹,0.0009650000
痉笑面容,0.0000130000
耻区肿块,0.0012290000
手下垂时皮肤呈灰蓝色,0.0002000000
产道裂伤,0.1517500000
恐水症,0.0000120000
角回受损,0.0054000000
菜花耳,0.0010000000
色素斑,0.1669380667
月经骤停,0.0001000000
前庭性共济失调,0.0000500000
基因融合,0.0000140000
纳差,0.1339845000
出血性丘疹,0.1217853000
四肢湿冷,0.0059140000
儿童不敢平卧睡觉,0.0005500000
肌腱粘连,0.0006126000
髋关节痛,0.0011400000
语音震颤增强,0.0001000000
脑水肿,0.0000300000
肛乳头肥大,0.0290000000
呈红色条索，游...,0.0010100000
胆囊积水,0.4784700000
排痰无力,0.1000100000
气过水声,0.0212010000
口腔出血,0.0030200000
局部淋巴结肿大,0.3001024000
头颈分离感,0.0000200000
X型腿,0.0500820000
静脉石,0.0200100000
碘甲亢,0.0200150000
闭经-乳溢-不...,0.0005100000
颈部粗,0.0058400000
偏侧空间忽略症,0.0000100000
早晨上下眼睑粘连,0.0037000000
脱肛,0.1131150000
蛛网膜增厚,0.0860010000
扁桃体上有灰色膜,0.0007015000
脊髓受压,0.3996799000
口腔起泡,0.0061000000
地图样骨缺损,0.0000400000
乳腺刺痛,0.0003100000
足底凸起,0.0060300000
动脉盗血,0.0000200000
痛性红舌,0.0231010000
象限性偏盲,0.0000540000
注意力不集中,2.1688530000
阴道异味,0.0013000000
痰呈粘液脓性,0.0050400000
长期使用皮质类...,0.0000120000
癫痫发作,0.0001400000
髋关节积液,0.0001000000
匙状指（趾）,0.0005000000
囟门跳动,0.0001210000
萎缩性痤疮,0.0075000000
外阴干涩,0.0303100000
眼张不开,0.0001350000
临产后阵痛剧烈,0.1356000000
小指感觉消失,0.0002800000
大便黑绿色,0.0102000000
先天性乳糖酶缺乏,0.0000100000
舌咽神经损伤,0.0000600000
肢体或躯干姿势异常,0.0186240000
烧伤创面暗灰或...,0.0004400000
肢端溃疡,0.0004300000
口吐白沫,0.0001950000
紧张性手抖,0.2000665000
眼前冒火花或眼前闪光,0.0000410000
多指（趾）畸形,0.0011110000
身体的低垂部位水肿,0.0010800000
乳腺退化不全,0.0010130000
软腭浅表溃疡,0.0000020000
痢疾,0.3097060000
类戒断反应,0.0000240000
脑实质的浸润,0.0008000000
里急后重,0.1567975000
悬雍垂下垂,0.0007010000
搏动性耳鸣,0.0012430000
先天性腹壁发育不全,0.0000410000
反复感冒,0.7600000000
心脏重量增加,0.0001200000
月经发黑,0.0015300000
面部肌肉痉挛,0.0007800000
心悸伴消瘦、腹泻,0.0001600000
胸窝疼痛,0.0003500000
心理伤害,0.0004100000
图形定向障碍,0.0000200000
孕妇耻骨痛,0.0001035000
涂友宝,0.1161470000
颈心综合症,0.1500000000
蝶鞍空泡,0.1601650000
泛发性红色斑块,0.0004725000
口角生疮,0.0003110000
尿胆原排泻增加,0.0000300000
舌苔薄白,0.2157515000
带血粘脓鼻涕,1.0602230000
下肢放射痛,0.0027410000
痰呈白色黏稠胶冻状,0.0042500000
肢体的非凹性水肿,0.0013010000
乳房或乳头未发育,0.0003100000
鼻泪管阻塞,0.0004080000
尿比重增高,0.0013000000
碱性磷酸酶增高,0.0021850000
阴道持续中量流血,0.0002200000
新生儿手足徐动,0.0213000000
肛门疼痛,0.4842206000
肛管狭窄,0.0080200000
脑灰质移位,0.0001360000
酒糟鼻,0.0001000000
情感依赖,0.0000650000
外阴溃疡,0.0587980000
性交困难,0.0500461000
溶酶体酶缺陷,0.0000305000
妊娠时持续性腹...,0.1051000000
睑内翻,0.0003310000
面部蝶形红斑,0.0005340000
口唇周围麻木感刺痛,0.0030350000
骶髂关节疼痛,0.0361016667
角膜混浊,0.0390427000
思维中断,0.0000100000
胃气虚,0.0001000000
乳房硬化,0.0303100000
大动脉错位,0.0010566000
腰大肌痉挛,0.0012000000
鼻衄,0.5079940000
中心性钙化,0.0001350000
慢性腰痛伴下肢麻痛,0.0002010000
经期出血,0.9008150000
夹层血肿,0.0003750000
缺智齿,0.9515000000
C,0.0000850000
恐惧,0.6310000000
鼻毛脱落,0.1208600000
主动脉瓣上膈膜型狭窄,0.0000100000
末梢神经炎,0.0026530000
青少年脊柱侧凸,0.0030200000
唇圆或椭圆形红斑,0.0003800000
吐酸,0.2750000000
心包压塞,0.0000070000
牙齿上白垩色到...,0.0000610000
脚后跟裂,0.0235000000
新生儿低体温,0.0000002000
胸膜增厚,0.0028850000
混浊尿,0.0005250000
粘膜增生性炎症,0.7500450000
肌肉出血,0.0003550000
胃痛,0.0005535000
腋毛和阴毛脱落,0.0000230000
痰中或可找到蛔...,0.0001500000
排尿过程中发生晕厥,0.0084000000
脊髓半切综合征,0.0007350000
血糖值升高,0.1665000000
纵行骨折,0.0060000000
神经性尿频,0.0005200000
功能性震颤,0.0014880000
湿疣,0.0840520000
虹膜异色,0.0113975000
鼻腔不能关闭引...,0.0050100000
虚火牙痛,0.2500000000
食管壁纤维化,0.0000850000
无力,5.7733363000
覃迅云,0.0405225000
下唇麻木,0.0001960000
尿锰粪锰,0.0003000000
乳腺随月经出现胀痛,0.0330200000
唇厚舌大,0.0001130000
乳房早发育,0.0023000000
血压波动大,0.0000030000
面部血管纤维瘤,0.0008250000
溶骨性损害,0.0001110000
尿路结石,0.0011480000
低磷血症,0.0001600000
钙沉积,0.0009900000
体肺循环栓塞,0.0000100000
偏执型人格障碍,0.0005000000
数目较多的咖啡牛奶斑,0.0005800000
外阴下坠感,0.0517210000
神经性耳鸣,0.0091000000
脖子扭痛,0.1500000000
颅骨增生,0.0008070000
脓苔,0.0010130000
收缩期和舒张期杂音,0.0000325000
盘状红斑,0.0018600000
手臂肌肉拉伤,0.0367366667
无运动或感觉障...,0.0000120000
冠状动脉窃血现象,0.0000330000
足穿孔,0.0000100000
肾小管萎陷,0.0100010000
猝倒,0.1560860000
咬肌肥大,0.1750600000
眼眶疼痛,0.1229720000
精液少,0.2710600000
耳鼓膜穿孔,0.2004300000
感染性发热,0.0289135000
骶髂部剧烈疼痛,0.0024000000
脸冻伤,0.0021100000
大写症,0.0001200000
孤独症,0.0005810000
尿中雌激素增高,0.0050000000
孕晚期腹痛,0.0030000000
无动性缄默,0.0000200000
血管壁及周围有...,0.0017410000
上肢半屈状,0.0010350000
心搏漏跳,0.0010600000
儿童偏食,0.1750300000
胰酶分泌或排出量降低,0.0000050000
喜凉怕热,0.0002800000
顽固性心功能不全,0.0005000000
日晒斑,0.0050800000
鼻黏膜可呈颗粒...,0.0065300000
小儿尿色发蓝,0.0000200000
喉头痉挛,0.0000620000
心房对心室收缩...,0.0010300000
上肺纤维化明显,0.0003000000
牙齿臭,0.3000000000
不典型胸痛,0.0006050000
乳头皲裂,0.0380000000
卵巢囊肿,0.0164010000
局限性肾坏死,0.0005000000
便秘伴腹部包块,0.0011300000
低血糖症,0.1212872000
血清甲胎蛋白升高,0.0000100000
吞咽障碍,0.0243940000
甲状腺扪及光滑...,0.2324550000
兔唇,0.0000510000
毒血症,0.2468384000
惊恐发作,0.0173800000
头沉,0.1000000000
糖激素依赖,0.0001650000
老来瘦,0.0010380000
脓性分泌物增多,0.0100650000
胆红素钙结石,0.5333650000
颊部脂肪消失呈...,0.0000250000
